slug,baslik,koleksiyon,eski_sorgu
manetho-apotelesmatika-bes-gezici-yildiz,Apotelesmatika: Beş Gezici Yıldız ve Göğün Ekseni,Astroloji,manetho apotelesmatika
al-qabisi-astroloji-sanatina-giris-burclar-gezegenler,Astroloji Sanatına Giriş: Burçlar Çemberinin Yarımları ve Çeyrekleri,Astroloji,qabisi astroloji
sahl-ibn-bishr-astrolojiye-giris,Astrolojiye Giriş: On İki Burcun Doğası,Astroloji,sahl bishr
manilius-astronomica,Astronomica,Astroloji,manilius astronomica
manilius-astronomica-kozmik-sempati-kader-burclar,Astronomica: Kozmik Sempati,Astroloji,manilius astronomica
ebu-masar-astronomiye-giris-asagi-alemin-yonetimi,Astronomiye Giriş: Aşağı Alemin Yönetimi,Astroloji,masar astronomiye
cardano-tetrabiblos-serhi-gezegenler-ve-ruhun-nitelikleri,Batlamyus&#x27;a Şerh: Gezegenler ve Ruhun Nitelikleri,Astroloji,cardano tetrabiblos
giuntini-burclarin-beden-uzerindeki-tesiri,Burçların Beden Üzerindeki Tesiri: Giuntini&#x27;nin Aynasından,Astroloji,giuntini burclarin
ibn-ezra-sebepler-kitabi-burclarin-hikmeti,Burçların Hikmeti ve Yıldızların Evi,Astroloji,ezra sebepler
dorotheus-buyuk-gunes-ve-cevik-ay,Büyük Güneşi ve Çevik Ayı Gözle: Dorotheus&#x27;un İlk Kuralı,Astroloji,dorotheus buyuk
abu-mashar-buyuk-kavusumlar-satun-jupiter-mars,Büyük Kavuşumlar Üzerine,Astroloji,mashar buyuk
omar-tiberiadis-dogumlar-uzerine-uc-kitap,"Doğumlar Üzerine, Omar&#x27;a Göre, Birinci Kitap",Astroloji,omar tiberiadis
firmicus-maternus-mathesis-dort-unsurdan-yaratilan-ilahi-insan,Dört Unsurdan Yaratılan İlahi İnsan,Astroloji,firmicus maternus
firmicus-mathesis-dunyanin-dogum-haritasi-astroloji,Dünyanın Doğum Haritası ve İnsanın Küçük Evren Oluşu,Astroloji,firmicus mathesis
morin-fransiz-astrolojisi,Fransız Astrolojisi,Astroloji,morin fransiz
ptolemy-tetrabiblos-gezegenlerin-gucu,Gezegenlerin Gücü Üzerine,Astroloji,ptolemy tetrabiblos
abu-mashar-introductorium-in-astronomiam,Göklerin Devinimi ve Mevsimlerin Bilgeliği: Ebû Ma&#x27;şer&#x27;in Astronomiye Giriş&#x27;i,Astroloji,mashar introductorium
hikmetin-baslangici-ibn-ezra-burclar-kusagi,Hikmetin Başlangıcı: Burçlar Kuşağının Hikmeti,Astroloji,hikmetin baslangici
messahala-kabul-uzerine,Kabul Üzerine,Astroloji,messahala kabul
sextus-empiricus-muneccimlere-karsi,Müneccimlere Karşı,Astroloji,sextus empiricus
artemidoros-ruya-yorumu-disler-hane,Rüyada Diş Görmek Üzerine,Astroloji,artemidoros ruya
ptolemy-tetrabiblos,Tetrabiblos: Dört Kitap,Astroloji,ptolemy tetrabiblos
vettius-valens-anthologiae-yazgi-yasasi,Vettius Valens: Yazgının Yasasına Boyun Eğmek,Astroloji,vettius valens
cattan-yer-fali-sanati-geomance,Yer Falı Sanatı: Geomansi Üzerine,Astroloji,cattan fali
regiomontanus-yonelimler-cetveli-onsoz,Yönelimler Cetveli: Bir Sanatın Güçlüğü Üzerine,Astroloji,regiomontanus yonelimler
ptolemy-centiloquium-yuz-aforizma,Yüz Aforizma (Centiloquium): Bilgeliğin Göklere Yardımı,Astroloji,ptolemy centiloquium
masaallah-yil-donusleri-ve-dogumlar-uzerine,Yıl Dönüşleri ve Doğumlar Üzerine,Astroloji,masaallah donusleri
ibn-ezra-yildiz-biliminin-aleti,Yıldız Biliminin Aleti: Çeyrek Dairenin Hikmeti,Astroloji,ezra yildiz
al-kindi-de-radiis-yildiz-isinlari,Yıldız Işınları Üzerine,Astroloji,kindi radiis
leopold-avusturya-yildizlar-bilgisi-derlemesi,Yıldızlar Bilgisi Üzerine Derleme,Astroloji,leopold avusturya
firmicus-maternus-yildizlar-erdem-ve-irade,"Yıldızlar, Erdem ve İrade Üzerine",Astroloji,firmicus maternus
albubather-dogumlarin-hukmu-dindarlik,Yıldızlarda Din: Doğum Haritasından İnancı Okumak,Astroloji,albubather dogumlarin
rhetorius-yildizlarin-hukmu-ve-photios,Yıldızların Hükmü: Rhetorius&#x27;un Yıldız Falı Notları,Astroloji,rhetorius yildizlarin
sibly-occult-sciences-astroloji-tibbi-nativite,Yıldızların Hükmünde Bir Hastalık: Sibly ve Tıbbi Astroloji,Astroloji,sibly occult
haly-abenragel-yildizlarin-hukumleri-gunes,Yıldızların Hükümleri: Göğün Kandili Olan Güneş Üzerine,Astroloji,haly abenragel
firmicus-maternus-mathesis-yildizlarin-kaderi,Yıldızların Kaderi: Firmicus Maternus ve Kaderin Egemenliği,Astroloji,firmicus maternus
yildizlarin-tabiati-astroloji-sanatina-giris,Yıldızların Tabiatı ve Astroloji Sanatının Tarifi,Astroloji,yildizlarin tabiati
alcabitius-yildizlarin-yargilari-giris,Yıldızların Yargıları Sanatına Giriş,Astroloji,alcabitius yildizlarin
mashaallah-yillarin-devirleri,Yılların Devirleri Üzerine,Astroloji,mashaallah yillarin
ars-notoria-melek-belligi-solomon-hafiza-duasi,Ars Notoria: Meleklerin Bahşettiği Hafıza,Büyü ve Okült,notoria melek
ars-notoria-suleymanin-nurlu-sanati,Ars Notoria: Süleyman&#x27;ın Nurlu Sanatı,Büyü ve Okült,notoria suleymanin
peter-de-abano-heptameron-buyu-cemberi,Büyü Çemberi Üzerine: Heptameron&#x27;dan Bir Pasaj,Büyü ve Okült,peter abano
remy-daemonolatreiae-cadilarin-gece-ucusu,Cadıların Kocalarını Uyutup Şabat Toplantılarına Uçuşu,Büyü ve Okült,remy daemonolatreiae
bodin-cadilarin-iblis-cilginligi,Cadıların İblis Çılgınlığı,Büyü ve Okült,bodin cadilarin
reginald-scot-cadiligin-kesfi-yoksula-eziyet,Cadılığın Keşfi,Büyü ve Okült,reginald scot
court-de-gebelin-tarot-misir-monde-primitif,Court de Gébelin ve Tarotun Mısır Kökeni,Büyü ve Okült,court gebelin
honorius-yemin-kitabi-dua-18-dunyanin-nuru,Dünyanın Nuru: Honorius&#x27;un Yemin Kitabı&#x27;ndan On Sekizinci Dua,Büyü ve Okült,honorius yemin
del-rio-buyu-sorusturmalari-dusmanin-bin-hilesi,Düşmanın Bin Hilesi: Büyünün Kaynağındaki Aldanış,Büyü ve Okült,buyu sorusturmalari
grimorium-verum-yapitin-uc-bolumu-ve-ruhlarin-cagrilmasi,Grimorium Verum: Yapıtın Üç Bölümü ve Ruhların Çağrılması,Büyü ve Okült,grimorium verum
abramelin-hakiki-hikmet-arayisi,Hakiki Hikmet Arayışı,Büyü ve Okült,abramelin hakiki
hartlieb-butun-yasak-sanatlar-ucus-merhemi,Havada Uçuş Nasıl Olur,Büyü ve Okült,hartlieb butun
yunan-buyu-papirusleri-havadan-ruh-yardimci,Havadan Bir Ruh: Yardımcının Kutsal Kabulü,Büyü ve Okült,yunan buyu
proklos-kutsal-ayin-sanati-teurji-sempati,Kutsal Ayin Sanatı ve İlahi Tabiata Ortaklık,Büyü ve Okült,proklos kutsal
melek-raziel-kitabi-ademin-duasi-buyu-okult,Melek Raziel&#x27;in Kitabı: İlk İnsan Âdem&#x27;in Duası,Büyü ve Okült,melek raziel
musanin-altinci-kitabi-yuce-esrar,Musa&#x27;nın Altıncı Kitabı: Yüce Esrarın Anahtarı,Büyü ve Okült,musanin altinci
waite-okult-bilimler-buyucu-dogmaz-yapilir,"Okült Bilimler: Büyücü Doğmaz, Yapılır",Büyü ve Okült,waite okult
enchiridion-papa-leo-tilsimli-dualar,Papa Leo&#x27;nun El Kitabı: Altın Harflerle Taşınan Dualar,Büyü ve Okült,enchiridion papa
cardano-somniorum-synesiorum-ruyalarin-dogasi,Rüyaların Doğası Üzerine,Büyü ve Okült,cardano somniorum
artemidoros-ruyalarin-yorumu-kehanet-ruyasi,Rüyaların Yorumu,Büyü ve Okült,artemidoros ruyalarin
weyer-pseudomonarchia-daemonum-sahte-iblis-kralligi,"Sahte İblis Krallığı: Marbas, Amon ve Barbatos",Büyü ve Okült,weyer pseudomonarchia
simya-biliminin-dogusu-lewis-spence,Simya Biliminin Doğuşu ve Avrupa&#x27;ya Yayılışı,Büyü ve Okült,simya biliminin
suleymanin-anahtari-cemberin-hazirligi,Süleyman&#x27;ın Anahtarı: Çemberin Hazırlanışı,Büyü ve Okült,suleymanin anahtari
cecco-dascoli-kure-serhi-yildiz-tilsimlari,Yıldız Tılsımları ve Cinlerin Sesi: Cecco d&#x27;Ascoli&#x27;nin Küre Şerhi,Büyü ve Okült,cecco dascoli
sinistrari-demoniality-pavia-hieronyma-incubus,İblislik Üzerine: Pavia&#x27;lı Kadının Hikâyesi,Büyü ve Okült,sinistrari demoniality
guazzo-compendium-maleficarum-seytanin-duyulari-aldatmasi,Şeytan Duyuları Nasıl Aldatır,Büyü ve Okült,guazzo compendium
weyer-seytanlarin-hileleri,Şeytanların Hileleri Üzerine,Büyü ve Okült,weyer seytanlarin
antimonun-zafer-arabasi-ezoterik-tip,Antimonun Zafer Arabası,Ezoterik Tıp,antimonun zafer
fernel-formlarin-mertebeleri,Formların Mertebeleri,Ezoterik Tıp,fernel formlarin
severinus-idea-medicinae-philosophicae-hekim-ve-dogadaki-butun-duzen,Hekim ve Doğadaki Bütün Düzen,Ezoterik Tıp,severinus idea
van-helmont-humoral-tibba-karsi,Hummanın Bilinmezliği ve Dört Hılt Öğretisinin Çöküşü,Ezoterik Tıp,helmont humoral
culpeper-bitkiler-ve-gezegenler-goklerin-otlar-uzerindeki-etkisi,Yıldızların Otlar Üzerindeki Yüce Etkisi,Ezoterik Tıp,culpeper bitkiler
basilides-var-olmayan-tanri-ve-evrensel-tohum,Basilides ve Var Olmayan Tanrı: Evrensel Tohum Öğretisi,Gnostisizm,basilides olmayan
hakikat-incili-valentinuscu-sophia-yanilgisi-hermetizm,Hakikat İncili Geleneği: Sophia&#x27;nın Yanılgısı ve Baba&#x27;nın Merhameti,Gnostisizm,hakikat incili
pistis-sophia-sofianin-dususu-on-ucuncu-eon,Pistis Sophia: Sofia&#x27;nın Düşüşü,Gnostisizm,pistis sophia
irenaeus-sapkinliklara-karsi-valentinuscu-aionlar,Sapkınlıklara Karşı: Valentinusçu Aionlar,Gnostisizm,irenaeus sapkinliklara
bruce-kodeksi-setheus-uklumu-aeonlar,Setheus&#x27;un Uçurumu: Bruce Kodeksi ve Aeonların Doluluğu,Gnostisizm,bruce kodeksi
simon-magus-buyuk-bildiri-ates-agaci,Simon Magus: Büyük Bildiri ve Ateş Ağacı,Gnostisizm,simon magus
mead-unutulmus-inancin-kalintilari-sofia-gelin-odasi-ezgisi,Sofia&#x27;ya Övgü: Işıktan Gelin Odasının Ezgisi,Gnostisizm,mead unutulmus
theodotostan-secmeler-valentinuscu-ruh,Theodotos&#x27;tan Seçmeler: Valentinusçu Ruh Öğretisi,Gnostisizm,theodotostan secmeler
thomas-incili-yasayan-isanin-sozleri-icimizdeki-krallik,Yaşayan İsa&#x27;nın Sözleri: İçinizdeki Krallık,Gnostisizm,thomas incili
yuhannanin-sirri-barbelo-kozmogonisi-irenaeus,Yuhanna&#x27;nın Sırrı: Barbelo Kozmogonisi,Gnostisizm,yuhannanin sirri
