slug,baslik,koleksiyon,k
manetho-apotelesmatika-bes-gezici-yildiz,Apotelesmatika: Beş Gezici Yıldız ve Göğün Ekseni,Astroloji,123
al-qabisi-astroloji-sanatina-giris-burclar-gezegenler,Astroloji Sanatına Giriş: Burçlar Çemberinin Yarımları ve Çeyrekleri,Astroloji,195
kepler-yildizlarin-aspecti-astrolojinin-saglam-cekirdegi,Astrolojiden Geriye Kalan Tek Sağlam Çekirdek: Yıldızların Açıları,Astroloji,124
bellantius-astrolojinin-savunmasi-pico-cevap,Astrolojinin Hakikati Üzerine,Astroloji,12819
sahl-ibn-bishr-astrolojiye-giris,Astrolojiye Giriş: On İki Burcun Doğası,Astroloji,5169
pico-astrolojiye-karsi-disputationes,Astrolojiye Karşı,Astroloji,7880
manilius-astronomica,Astronomica,Astroloji,135
manilius-astronomica-kozmik-sempati-kader-burclar,Astronomica: Kozmik Sempati,Astroloji,130
ebu-masar-astronomiye-giris-asagi-alemin-yonetimi,Astronomiye Giriş: Aşağı Alemin Yönetimi,Astroloji,166
cardano-tetrabiblos-serhi-gezegenler-ve-ruhun-nitelikleri,Batlamyus&#x27;a Şerh: Gezegenler ve Ruhun Nitelikleri,Astroloji,136
giuntini-burclarin-beden-uzerindeki-tesiri,Burçların Beden Üzerindeki Tesiri: Giuntini&#x27;nin Aynasından,Astroloji,131
ibn-ezra-sebepler-kitabi-burclarin-hikmeti,Burçların Hikmeti ve Yıldızların Evi,Astroloji,117
paracelsus-buyuk-gokkube-ve-insan,Büyük Gökküre ve İnsan: Küçük Evrenin Yaratılışı,Astroloji,136
dorotheus-buyuk-gunes-ve-cevik-ay,Büyük Güneşi ve Çevik Ayı Gözle: Dorotheus&#x27;un İlk Kuralı,Astroloji,89
abu-mashar-buyuk-kavusumlar-satun-jupiter-mars,Büyük Kavuşumlar Üzerine,Astroloji,8309
omar-tiberiadis-dogumlar-uzerine-uc-kitap,"Doğumlar Üzerine, Omar&#x27;a Göre, Birinci Kitap",Astroloji,89
firmicus-maternus-mathesis-dort-unsurdan-yaratilan-ilahi-insan,Dört Unsurdan Yaratılan İlahi İnsan,Astroloji,131
firmicus-mathesis-dunyanin-dogum-haritasi-astroloji,Dünyanın Doğum Haritası ve İnsanın Küçük Evren Oluşu,Astroloji,192
ficino-goksel-yasam,"Ficino, Göksel Yaşam Üzerine",Astroloji,30634
morin-fransiz-astrolojisi,Fransız Astrolojisi,Astroloji,169
ptolemy-tetrabiblos-gezegenlerin-gucu,Gezegenlerin Gücü Üzerine,Astroloji,160
ficino-goklerden-hayat-tilsimlar,Göklerden Hayat Devşirmek: Tılsımlar ve Yıldızların Gücü,Astroloji,173
abu-mashar-introductorium-in-astronomiam,Göklerin Devinimi ve Mevsimlerin Bilgeliği: Ebû Ma&#x27;şer&#x27;in Astronomiye Giriş&#x27;i,Astroloji,187
ficino-de-vita-astroloji-melankoli,Hayat Üzerine Üç Kitap: Bilginin Melankolisi ve Göksel Neden,Astroloji,87
hikmetin-baslangici-ibn-ezra-burclar-kusagi,Hikmetin Başlangıcı: Burçlar Kuşağının Hikmeti,Astroloji,152
